fitVertices
foundClusters 23 ntrks  452
chi2Max 50
# i iv zt ezt2
172 11 2.2560771 4.1841144e-05
173 20 4.7967067 9.2994465e-05
174 12 3.521904 6.5383996e-05
175 19 5.583107 4.0745952e-05
176 11 2.2570457 3.7951831e-05
177 18 1.2876226 5.1790554e-05
178 15 0.61837876 3.0686526e-05
179 18 1.2803954 5.8618138e-05
180 18 1.2787895 1.4403896e-05
181 18 1.2835627 1.7227138e-05
182 11 2.2219296 0.00036279962
183 9997 6.144496 7.6647862e-05
184 11 2.2063217 5.9700833e-05
185 19 5.5698409 2.5643614e-05
186 19 5.5962687 0.0023110041
187 5 -1.5173502 0.00039569373
188 15 0.62313944 2.9447403e-05
189 15 0.62533164 1.7423759e-05
190 15 0.62651396 1.0758435e-05
191 1 7.2628942 0.00059595221
192 19 5.5849495 0.00061155914
193 1 7.2368913 1.3496958e-05
194 19 5.566854 1.3551754e-05
195 5 -1.6320558 0.00015224401
196 14 4.6485229 7.004389e-05
197 5 -1.6604224 4.2319527e-05
198 11 2.1991358 4.2832467e-05
199 14 4.6403227 3.6553269e-05
200 14 4.6603546 0.00010415259
201 18 1.2842464 1.5666572e-05
202 15 0.64289731 4.3398337e-05
203 18 1.2848396 1.4737516e-05
204 3 -1.1183721 2.8230834e-05
205 19 5.5644379 0.00010562123
206 9 -4.06003 0.0020751113
207 16 -3.9459496 0.00095825171
208 19 5.5720348 1.9031637e-05
209 9997 0.040122014 0.00053192617
210 9997 -0.75681722 0.00073005067
211 9997 6.5944171 4.3853302e-05
212 2 -1.7830837 0.00039611917
213 2 -1.7701848 0.00059395866
214 5 -1.6464621 0.00050755445
215 13 -7.2816648 8.7867629e-05
216 14 4.6292129 0.00014045759
217 20 4.774929 0.00019402546
218 15 0.63772845 9.1837668e-05
219 15 0.61668295 8.2669569e-05
220 14 4.6462574 0.00038453293
221 16 -3.9734662 4.0025519e-05
222 16 -3.9672227 2.0221378e-05
223 0 1.1462784 0.00073491229
224 16 -3.9647696 1.539484e-05
225 0 1.166685 0.0002518156
